sortie_id,model_id,drone_id,battery_id,start_time,end_time,total_time,total_energy,return_soc,service_seq,boxes
S021,C,U07,BAT-C-01,0.0,1837.4365171840186,1837.4365171840186,4.856717013817562,0.39291037327280476,S012,"S012-WAT-01,S012-FOD-01,S012-MED-01"
S006,B,U05,BAT-B-01,0.0,1718.0554798942603,1718.0554798942603,2.4575221117515516,0.3856194720621121,S002,"S002-FOD-01,S002-FOD-02,S002-MED-01"
S004,B,U06,BAT-B-02,0.0,1658.0554798942603,1658.0554798942603,2.8376686560586775,0.29058283598533063,S002,"S002-WAT-01,S002-WAT-02"
S016,C,U08,BAT-C-02,0.0,1649.2640892672728,1649.2640892672728,3.3101665716972803,0.58622917853784,S007,"S007-WAT-01,S007-WAT-02,S007-FOD-01,S007-HYG-01,S007-MED-01"
S023,C,U08,BAT-C-03,1649.2640892672728,3285.6799281674175,1636.4158389001445,3.5952006430344365,0.5505999196206954,S014,"S014-WAT-01,S014-FOD-01,S014-MED-01"
S002,C,U07,BAT-C-04,1837.4365171840186,3406.567294293869,1569.1307771098502,2.8698639989595023,0.6412670001300622,S001,"S001-WAT-06,S001-WAT-07,S001-WAT-08,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02,S001-MED-01,S001-MED-02"
S022,C,U08,BAT-C-02,3379.1008691019533,4941.2338519928935,1562.1329828909404,3.2317500528572727,0.596031243392841,S013,"S013-WAT-01,S013-FOD-01,S013-MED-01"
S019,C,U07,BAT-C-01,3986.130708426275,5538.789219267796,1552.6585108415215,3.1861525810677636,0.6017309273665296,S010,"S010-WAT-01,S010-FOD-01,S010-MED-01"
S015,C,U08,BAT-C-04,5017.155460678734,6521.6814007173525,1504.5259400386185,2.57031166185783,0.6787110422677712,S006,"S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01,S006-MED-01"
S001,C,U07,BAT-C-03,5538.789219267796,6909.919996377646,1371.1307771098502,2.9477668575092437,0.6315291428113445,S001,"S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05,S001-FOD-01"
S017,C,U08,BAT-C-02,6649.832824641739,8705.98929056039,2056.156465918651,5.800131477049835,0.27498356536877067,S008,"S008-WAT-01,S008-WAT-02,S008-FOD-01,S008-HYG-01,S008-MED-01"
S013,C,U07,BAT-C-01,7235.038876640316,9270.334926951335,2035.2960503110185,6.064045164163529,0.24199435447955886,S004,"S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01,S004-MED-01"
S024,C,U08,BAT-C-04,8705.98929056039,10534.708853042372,1828.7195624819817,4.0335140900358954,0.49581073874551307,S015,"S015-WAT-01,S015-FOD-01,S015-MED-01"
S011,B,U06,BAT-B-03,1658.0554798942603,3440.204605403683,1782.149125509423,2.438818362698396,0.39029540932540097,S003,"S003-FOD-01,S003-FOD-02,S003-MED-01"
S009,B,U05,BAT-B-04,1718.0554798942603,3440.204605403683,1722.149125509423,2.8142175939019265,0.2964456015245184,S003,"S003-WAT-01,S003-WAT-02"
S014,C,U07,BAT-C-03,9270.334926951335,10949.840270817487,1679.505343866152,4.154901457307079,0.4806373178366151,S005,"S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01,S005-MED-01"
S018,C,U08,BAT-C-02,11110.19156559472,12679.307534713169,1569.1159691184498,3.7537538992683013,0.5307807625914623,S009,"S009-WAT-01,S009-FOD-01,S009-MED-01"
S020,C,U07,BAT-C-01,11746.013825578957,12911.598295492386,1165.5844699134286,1.8664007714663726,0.7666999035667035,S011,"S011-WAT-01,S011-FOD-01,S011-MED-01"
S005,B,U05,BAT-B-01,3449.648394986599,5107.703874880859,1658.0554798942603,2.8376686560586775,0.29058283598533063,S002,"S002-WAT-03,S002-WAT-04"
S007,B,U06,BAT-B-02,3554.378564186354,5152.4340440806145,1598.0554798942603,2.2017005782103842,0.44957485544740394,S002,S002-HYG-01
S010,B,U05,BAT-B-03,5163.692562572988,6885.841688082412,1722.149125509423,2.8142175939019265,0.2964456015245184,S003,"S003-WAT-03,S003-WAT-04"
S012,B,U06,BAT-B-04,5326.365562761184,6988.514688270607,1662.149125509423,2.1829989589013463,0.4542502602746634,S003,S003-HYG-01
