运输架次,时刻_s,阶段,经度,纬度,海拔_m,实际直连优先状态,中继架次,余量_dB
Q3T001,360.0,爬升 O01→S012,109.2308517,23.0085095,127.7,DIRECT,,45.92517525248826
Q3T001,360.99167012108694,爬升 O01→S012,109.2308517,23.0085095,130.6750103632608,DIRECT,,57.32403804124718
Q3T001,361.98334024217394,爬升 O01→S012,109.2308517,23.0085095,133.6500207265218,DIRECT,,58.99226149435615
Q3T001,362.97501036326094,爬升 O01→S012,109.2308517,23.0085095,136.6250310897828,DIRECT,,61.05892485096293
Q3T001,363.9666804843479,爬升 O01→S012,109.2308517,23.0085095,139.60004145304362,DIRECT,,63.776119239736055
Q3T001,364.9583506054348,爬升 O01→S012,109.2308517,23.0085095,142.57505181630444,DIRECT,,67.75198559032954
Q3T001,365.9500207265218,爬升 O01→S012,109.2308517,23.0085095,145.55006217956543,DIRECT,,75.29725717334095
Q3T001,366.9416908476088,爬升 O01→S012,109.2308517,23.0085095,148.52507254282642,DIRECT,,83.61593247200146
Q3T001,367.93336096869575,爬升 O01→S012,109.2308517,23.0085095,151.50008290608724,DIRECT,,70.34991373204514
Q3T001,368.9250310897827,爬升 O01→S012,109.2308517,23.0085095,154.47509326934806,DIRECT,,65.32746959968216
Q3T001,369.9167012108697,爬升 O01→S012,109.2308517,23.0085095,157.45010363260906,DIRECT,,62.16559053009237
Q3T001,370.9083713319567,爬升 O01→S012,109.2308517,23.0085095,160.42511399587005,DIRECT,,59.85254153410972
Q3T001,371.9000414530436,爬升 O01→S012,109.2308517,23.0085095,163.40012435913087,DIRECT,,58.02771331723873
Q3T001,372.89171157413057,爬升 O01→S012,109.2308517,23.0085095,166.3751347223917,DIRECT,,56.52050029579934
Q3T001,373.88338169521757,爬升 O01→S012,109.2308517,23.0085095,169.35014508565268,DIRECT,,55.23655894441693
Q3T001,374.87505181630456,爬升 O01→S012,109.2308517,23.0085095,172.32515544891368,DIRECT,,54.118195551599385
Q3T001,375.8667219373915,爬升 O01→S012,109.2308517,23.0085095,175.3001658121745,DIRECT,,53.12754134250983
Q3T001,376.85839205847844,爬升 O01→S012,109.2308517,23.0085095,178.27517617543532,DIRECT,,52.23839580300029
Q3T001,377.85006217956544,爬升 O01→S012,109.2308517,23.0085095,181.2501865386963,DIRECT,,51.43187638207526
Q3T001,378.84173230065244,爬升 O01→S012,109.2308517,23.0085095,184.22519690195728,DIRECT,,50.693923849163156
Q3T001,379.8334024217394,爬升 O01→S012,109.2308517,23.0085095,187.2002072652181,DIRECT,,50.01378767657825
Q3T001,380.8250725428263,爬升 O01→S012,109.2308517,23.0085095,190.17521762847892,DIRECT,,49.383062911306254
Q3T001,381.8167426639133,爬升 O01→S012,109.2308517,23.0085095,193.1502279917399,DIRECT,,48.795053843516314
Q3T001,382.8084127850003,爬升 O01→S012,109.2308517,23.0085095,196.1252383550009,DIRECT,,48.244339824818695
Q3T001,383.80008290608725,爬升 O01→S012,109.2308517,23.0085095,199.10024871826172,DIRECT,,47.726470756015175
Q3T001,383.80008290608725,爬升 O01→S012,109.2308517,23.0085095,199.10024871826172,DIRECT,,47.726470756015175
Q3T001,384.7917530271742,爬升 O01→S012,109.2308517,23.0085095,202.07525908152255,DIRECT,,47.237748380800895
Q3T001,385.7834231482612,爬升 O01→S012,109.2308517,23.0085095,205.05026944478354,DIRECT,,46.775065912614906
Q3T001,386.7750932693482,爬升 O01→S012,109.2308517,23.0085095,208.02527980804453,DIRECT,,46.335788266109006
Q3T001,387.76676339043513,爬升 O01→S012,109.2308517,23.0085095,211.00029017130535,DIRECT,,45.917661148830604
Q3T001,388.75843351152207,爬升 O01→S012,109.2308517,23.0085095,213.97530053456617,DIRECT,,45.518741050201584
Q3T001,389.75010363260907,爬升 O01→S012,109.2308517,23.0085095,216.95031089782717,DIRECT,,45.13734061583017
Q3T001,390.74177375369607,爬升 O01→S012,109.2308517,23.0085095,219.92532126108816,DIRECT,,44.7719855201763
Q3T001,391.733443874783,爬升 O01→S012,109.2308517,23.0085095,222.90033162434898,DIRECT,,44.42138005012991
Q3T001,392.72511399586995,爬升 O01→S012,109.2308517,23.0085095,225.87534198760977,DIRECT,,44.084379369897135
Q3T001,393.71678411695694,爬升 O01→S012,109.2308517,23.0085095,228.8503523508708,DIRECT,,43.759966968731945
Q3T001,394.70845423804394,爬升 O01→S012,109.2308517,23.0085095,231.82536271413176,DIRECT,,43.447236171045475
Q3T001,395.7001243591309,爬升 O01→S012,109.2308517,23.0085095,234.80037307739258,DIRECT,,43.145374861227495
