中继架次,中继无人机,能源组件,准备开始_s,经度,纬度,DEM海拔_m,悬停离地_m,悬停海拔_m,转场巡航海拔_m,建链完成_s,服务结束_s,返回O01_s,无人机周转完成_s,能耗_kWh,返航SOC,充满_s,保障运输架次,去程飞行_s,回程飞行_s
Q3R001,R01,RE-01,71.47100179663573,109.21833333333333,23.045,346.8442687988281,300.0,646.8442687988281,646.8442687988281,694.9232964250626,4069.9437396694298,4526.658056697759,4826.658056697759,1.267827310061357,0.6038039656058259,5541.712901410186,Q3T001|Q3T003|Q3T004|Q3T005|Q3T006|Q3T009|Q3T010|Q3T011,413.4522946284269,456.7143170283292
Q3R002,R02,RE-02,79.66988417616722,109.27111111111111,23.014444444444443,335.9296569824219,300.0,635.9296569824219,635.9296569824219,694.9232964250626,1585.1510124520803,2032.7568961161776,2332.756896116178,0.504119462870096,0.842462667853095,2737.555427907154,Q3T001|Q3T002|Q3T004|Q3T005,405.2534122488954,447.6058836640973
Q3R003,R02,RE-03,3651.663863740841,109.23083333333334,23.00861111111111,128.7255401611328,240.0,368.7255401611328,368.7255401611328,3922.683846444998,4447.30235893618,4528.407803320431,4828.407803320431,0.19139166764098683,0.9401901038621916,4905.2101489886245,Q3T010|Q3T011,61.01998270415684,81.10544438425124
Q3R004,R01,RE-04,4989.711500466879,109.25,23.064722222222223,229.2149200439453,300.0,529.2149200439453,529.2149200439453,5736.789925840688,6629.4953527586895,7200.033354802827,7500.033354802827,0.596651479834962,0.8135464125515743,7942.42301848578,Q3T013|Q3T015,537.0784253738084,570.5380020441371
Q3R005,R02,RE-05,5149.73586420039,109.19777777777779,23.024444444444445,467.1873779296875,120.0,587.1873779296875,600.0015869140625,5736.789925840688,8253.998899907863,8669.343576375635,8969.343576375635,0.9841901632728337,0.6924405739772395,9569.170830205223,Q3T013|Q3T014|Q3T015|Q3T016,377.05406164029733,415.34467646777125
Q3R006,R01,RE-06,7598.467549922362,109.27111111111111,23.014444444444443,335.9296569824219,300.0,635.9296569824219,635.9296569824219,8213.720962171257,13246.516762386102,13694.122646050198,13994.122646050198,1.769904155260821,0.4469049514809935,14913.146209124907,Q3T017|Q3T018|Q3T019|Q3T020,405.2534122488954,447.6058836640973
Q3R007,R02,RE-02,9114.149109159323,109.21527777777779,23.031944444444445,216.49607849121094,300.0,516.4960784912109,516.4960784912109,9624.990307279446,10451.39459570134,10784.635467029064,11084.635467029064,0.4263637144971736,0.8667613392196333,11457.84572604354,Q3T018,300.8411981201229,333.24087132772377
Q3R008,R02,RE-03,12131.666381523703,109.22027777777778,23.031944444444445,178.04286193847656,240.0,418.04286193847656,418.04286193847656,12602.3593907279,12700.929480286684,12985.817727985754,13285.817727985754,0.1852883414379492,0.9420973933006409,13350.604150191715,Q3T019|Q3T020,260.6930092041963,284.8882476990694
Q3R009,R02,RE-01,13623.261793061822,109.19777777777779,23.024444444444445,467.1873779296875,120.0,587.1873779296875,600.0015869140625,14210.31585470212,15449.304424206344,15864.649100674116,16164.649100674116,0.5936228174341543,0.8144928695518268,16605.808370256742,Q3T022|Q3T023,377.05406164029733,415.34467646777125
Q3R010,R01,RE-04,14644.850721488077,109.25,23.064722222222223,229.2149200439453,300.0,529.2149200439453,529.2149200439453,15391.929146861887,17163.2351420085,17733.773144052637,18033.773144052637,0.8651127645714822,0.7296522610714118,18585.2252046598,Q3T023|Q3T024,537.0784253738084,570.5380020441371
Q3R011,R02,RE-05,16645.999903732096,109.21472222222222,23.02777777777778,335.390380859375,300.0,635.390380859375,635.390380859375,17163.2351420085,18438.8238713656,18788.366641380282,19088.366641380282,0.5592841097655021,0.8252237156982806,19515.575810972518,Q3T024|Q3T025,307.2352382764034,349.5427700146846
