运输架次,阶段,开始_s,结束_s,保证方式,备用中继架次,证书类型,链路余量下界_dB
Q3T001,爬升 O01→S012,360.0,383.80008290608725,DIRECT_CERTIFIED,,NLOS_BOUND,37.726470756015175
Q3T001,爬升 O01→S012,383.80008290608725,407.6001658121745,DIRECT_CERTIFIED,,NLOS_BOUND,30.161772645055834
Q3T001,爬升 O01→S012,407.6001658121745,431.4002487182617,DIRECT_CERTIFIED,,NLOS_BOUND,26.180757281487445
Q3T001,爬升 O01→S012,431.4002487182617,455.20033162434896,DIRECT_CERTIFIED,,NLOS_BOUND,23.461181216677716
Q3T001,巡航 O01→S012,455.20033162434896,484.5592584548548,DIRECT_CERTIFIED,,NLOS_BOUND,19.052420645339737
Q3T001,巡航 O01→S012,484.5592584548548,513.9181852853607,DIRECT_CERTIFIED,,NLOS_BOUND,14.409074212297242
Q3T001,巡航 O01→S012,513.9181852853607,543.2771121158664,DIRECT_CERTIFIED,,NLOS_BOUND,11.198247491190159
Q3T001,巡航 O01→S012,543.2771121158664,572.6360389463723,DIRECT_CERTIFIED,,NLOS_BOUND,8.813806160649222
Q3T001,巡航 O01→S012,572.6360389463723,601.9949657768782,DIRECT_CERTIFIED,,NLOS_BOUND,6.9295624714750375
Q3T001,巡航 O01→S012,601.9949657768782,631.3538926073841,DIRECT_CERTIFIED,,NLOS_BOUND,5.375530717141203
Q3T001,巡航 O01→S012,631.3538926073841,660.7128194378898,DIRECT_CERTIFIED,,NLOS_BOUND,4.0545366129016855
Q3T001,巡航 O01→S012,660.7128194378898,690.0717462683957,DIRECT_CERTIFIED,,NLOS_BOUND,2.90638231066805
Q3T001,巡航 O01→S012,690.0717462683957,719.4306730989015,DIRECT_CERTIFIED,,NLOS_BOUND,1.891361014447682
Q3T001,巡航 O01→S012,719.4306730989015,748.7895999294074,DIRECT_CERTIFIED,,NLOS_BOUND,0.9819635290464674
Q3T001,巡航 O01→S012,748.7895999294074,778.1485267599132,DIRECT_CERTIFIED,,NLOS_BOUND,0.15837080590924302
Q3T001,巡航 O01→S012,778.1485267599132,807.5074535904191,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,2.898790660905604
Q3T001,巡航 O01→S012,807.5074535904191,836.866380420925,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,2.531421400557562
Q3T001,巡航 O01→S012,836.866380420925,866.2253072514308,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,2.147552467601642
Q3T001,巡航 O01→S012,866.2253072514308,895.5842340819365,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,1.7536458433983455
Q3T001,巡航 O01→S012,895.5842340819365,924.9431609124424,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,1.3549196879484953
Q3T001,巡航 O01→S012,924.9431609124424,954.3020877429483,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,0.9554656962645964
Q3T001,巡航 O01→S012,954.3020877429483,983.6610145734542,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,0.5583629046180221
Q3T001,巡航 O01→S012,983.6610145734542,1013.01994140396,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,0.16588822178992757
Q3T001,巡航 O01→S012,1013.01994140396,1042.3788682344657,RELAY_BACKUP_DIRECT_FIRST,Q3R002,LOS_TRIANGLE,3.227887477355665
Q3T001,巡航 O01→S012,1042.3788682344657,1071.7377950649716,RELAY_BACKUP_DIRECT_FIRST,Q3R002,LOS_TRIANGLE,2.6484676589435594
Q3T001,下降 O01→S012,1071.7377950649716,1098.4379940395809,RELAY_BACKUP_DIRECT_FIRST,Q3R002,LOS_TRIANGLE,2.641526411061207
Q3T001,下降 O01→S012,1098.4379940395809,1125.1381930141904,RELAY_BACKUP_DIRECT_FIRST,Q3R002,LOS_TRIANGLE,2.6327910817701508
Q3T001,投送 S012,1125.1381930141904,1335.1381930141904,RELAY_BACKUP_DIRECT_FIRST,Q3R002,LOS_TRIANGLE,2.6327910817701508
Q3T001,爬升 S012→O01,1335.1381930141904,1357.3883588263648,RELAY_BACKUP_DIRECT_FIRST,Q3R002,LOS_TRIANGLE,2.6327910817701508
Q3T001,爬升 S012→O01,1357.3883588263648,1379.6385246385394,RELAY_BACKUP_DIRECT_FIRST,Q3R002,LOS_TRIANGLE,2.641526411061207
Q3T001,巡航 S012→O01,1379.6385246385394,1408.9974514690452,RELAY_BACKUP_DIRECT_FIRST,Q3R002,LOS_TRIANGLE,2.6484676589435594
Q3T001,巡航 S012→O01,1408.9974514690452,1438.3563782995511,RELAY_BACKUP_DIRECT_FIRST,Q3R002,LOS_TRIANGLE,3.227887477355665
Q3T001,巡航 S012→O01,1438.3563782995511,1467.715305130057,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,0.16588822178992757
Q3T001,巡航 S012→O01,1467.715305130057,1497.0742319605627,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,0.5583629046180221
Q3T001,巡航 S012→O01,1497.0742319605627,1526.4331587910685,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,0.9554656962645964
Q3T001,巡航 S012→O01,1526.4331587910685,1555.7920856215744,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,1.3549196879484953
Q3T001,巡航 S012→O01,1555.7920856215744,1585.1510124520803,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,1.7536458433983455
Q3T001,巡航 S012→O01,1585.1510124520803,1614.5099392825862,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,2.147552467601642
Q3T001,巡航 S012→O01,1614.5099392825862,1643.8688661130918,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,2.531421400557562
Q3T001,巡航 S012→O01,1643.8688661130918,1673.2277929435977,RELAY_BACKUP_DIRECT_FIRST,Q3R001,LOS_TRIANGLE,2.898790660905604
Q3T001,巡航 S012→O01,1673.2277929435977,1702.5867197741036,DIRECT_CERTIFIED,,NLOS_BOUND,0.15837080590924302
Q3T001,巡航 S012→O01,1702.5867197741036,1731.9456466046095,DIRECT_CERTIFIED,,NLOS_BOUND,0.9819635290464674
Q3T001,巡航 S012→O01,1731.9456466046095,1761.3045734351153,DIRECT_CERTIFIED,,NLOS_BOUND,1.891361014447682
Q3T001,巡航 S012→O01,1761.3045734351153,1790.6635002656212,DIRECT_CERTIFIED,,NLOS_BOUND,2.90638231066805
Q3T001,巡航 S012→O01,1790.6635002656212,1820.0224270961269,DIRECT_CERTIFIED,,NLOS_BOUND,4.0545366129016855
Q3T001,巡航 S012→O01,1820.0224270961269,1849.3813539266328,DIRECT_CERTIFIED,,NLOS_BOUND,5.375530717141203
Q3T001,巡航 S012→O01,1849.3813539266328,1878.7402807571386,DIRECT_CERTIFIED,,NLOS_BOUND,6.9295624714750375
Q3T001,巡航 S012→O01,1878.7402807571386,1908.0992075876445,DIRECT_CERTIFIED,,NLOS_BOUND,8.813806160649222
Q3T001,巡航 S012→O01,1908.0992075876445,1937.4581344181504,DIRECT_CERTIFIED,,NLOS_BOUND,11.198247491190159
Q3T001,巡航 S012→O01,1937.4581344181504,1966.817061248656,DIRECT_CERTIFIED,,NLOS_BOUND,14.409074212297242
Q3T001,巡航 S012→O01,1966.817061248656,1996.175988079162,DIRECT_CERTIFIED,,NLOS_BOUND,19.052420645339737
Q3T001,下降 S012→O01,1996.175988079162,2024.7360875664667,DIRECT_CERTIFIED,,NLOS_BOUND,23.461181216677716
Q3T001,下降 S012→O01,2024.7360875664667,2053.2961870537715,DIRECT_CERTIFIED,,NLOS_BOUND,26.180757281487445
Q3T001,下降 S012→O01,2053.2961870537715,2081.856286541076,DIRECT_CERTIFIED,,NLOS_BOUND,30.161772645055834
Q3T001,下降 S012→O01,2081.856286541076,2110.4163860283807,DIRECT_CERTIFIED,,NLOS_BOUND,37.726470756015175
Q3T002,爬升 O01→S014,360.0,385.79152153862844,DIRECT_CERTIFIED,,NLOS_BOUND,36.77138710706576
Q3T002,爬升 O01→S014,385.79152153862844,411.58304307725695,DIRECT_CERTIFIED,,NLOS_BOUND,29.35525581787752
Q3T002,爬升 O01→S014,411.58304307725695,437.37456461588545,DIRECT_CERTIFIED,,NLOS_BOUND,25.41399154248265
Q3T002,爬升 O01→S014,437.37456461588545,463.1660861545139,DIRECT_CERTIFIED,,NLOS_BOUND,22.712856056101472
Q3T002,爬升 O01→S014,463.1660861545139,488.95760769314234,DIRECT_CERTIFIED,,NLOS_BOUND,20.655464333417413
Q3T002,爬升 O01→S014,488.95760769314234,514.7491292317709,DIRECT_CERTIFIED,,NLOS_BOUND,18.993277511644692
Q3T002,巡航 O01→S014,514.7491292317709,542.9309890982781,DIRECT_CERTIFIED,,NLOS_BOUND,17.008120308966255
Q3T002,巡航 O01→S014,542.9309890982781,571.1128489647853,DIRECT_CERTIFIED,,NLOS_BOUND,13.784578914727774
Q3T002,巡航 O01→S014,571.1128489647853,599.2947088312925,DIRECT_CERTIFIED,,NLOS_BOUND,11.058584051110884
Q3T002,巡航 O01→S014,599.2947088312925,627.4765686977996,DIRECT_CERTIFIED,,NLOS_BOUND,8.876787815017053
Q3T002,巡航 O01→S014,627.4765686977996,655.6584285643069,DIRECT_CERTIFIED,,NLOS_BOUND,7.093514560751842
Q3T002,巡航 O01→S014,655.6584285643069,683.8402884308141,DIRECT_CERTIFIED,,NLOS_BOUND,5.5964172556760445
Q3T002,巡航 O01→S014,683.8402884308141,712.0221482973212,DIRECT_CERTIFIED,,NLOS_BOUND,4.310495348023764
Q3T002,巡航 O01→S014,712.0221482973212,740.2040081638285,DIRECT_CERTIFIED,,NLOS_BOUND,3.1854095242442924
Q3T002,巡航 O01→S014,740.2040081638285,768.3858680303356,DIRECT_CERTIFIED,,NLOS_BOUND,2.186343344806758
Q3T002,巡航 O01→S014,768.3858680303356,796.5677278968428,DIRECT_CERTIFIED,,NLOS_BOUND,1.2884272646828236
Q3T002,巡航 O01→S014,796.5677278968428,824.7495877633501,DIRECT_CERTIFIED,,NLOS_BOUND,0.4733653476379942
Q3T002,巡航 O01→S014,824.7495877633501,852.9314476298572,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,3.4778861215568213
Q3T002,巡航 O01→S014,852.9314476298572,881.1133074963643,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,3.4778861215568213
Q3T002,巡航 O01→S014,881.1133074963643,909.2951673628716,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,3.4778861215568213
Q3T002,巡航 O01→S014,909.2951673628716,937.4770272293788,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,3.171188472736361
Q3T002,巡航 O01→S014,937.4770272293788,965.658887095886,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,1.6491769412042885
Q3T002,下降 O01→S014,965.658887095886,989.7536258654172,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,1.63478500623539
Q3T002,下降 O01→S014,989.7536258654172,1013.8483646349486,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,1.6088147787699256
Q3T002,下降 O01→S014,1013.8483646349486,1037.9431034044799,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,1.5714727653610794
Q3T002,下降 O01→S014,1037.9431034044799,1062.037842174011,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,1.5230508989591556
Q3T002,投送 S014,1062.037842174011,1272.037842174011,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,1.5230508989591556
Q3T002,爬升 S014→O01,1272.037842174011,1298.8097741401568,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,1.5230508989591556
Q3T002,爬升 S014→O01,1298.8097741401568,1325.5817061063028,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,1.5851672984988596
Q3T002,爬升 S014→O01,1325.5817061063028,1352.3536380724486,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,1.6274063692226264
Q3T002,巡航 S014→O01,1352.3536380724486,1380.5354979389558,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,1.6491769412042885
Q3T002,巡航 S014→O01,1380.5354979389558,1408.717357805463,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,3.171188472736361
Q3T002,巡航 S014→O01,1408.717357805463,1436.89921767197,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,3.4778861215568213
Q3T002,巡航 S014→O01,1436.89921767197,1465.0810775384773,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,3.4778861215568213
Q3T002,巡航 S014→O01,1465.0810775384773,1493.2629374049845,RELAY_BACKUP_DIRECT_FIRST,Q3R002,NLOS_BOUND,3.4778861215568213
Q3T002,巡航 S014→O01,1493.2629374049845,1521.4447972714918,DIRECT_CERTIFIED,,NLOS_BOUND,0.4733653476379942
Q3T002,巡航 S014→O01,1521.4447972714918,1549.626657137999,DIRECT_CERTIFIED,,NLOS_BOUND,1.2884272646828236
Q3T002,巡航 S014→O01,1549.626657137999,1577.808517004506,DIRECT_CERTIFIED,,NLOS_BOUND,2.186343344806758
Q3T002,巡航 S014→O01,1577.808517004506,1605.9903768710133,DIRECT_CERTIFIED,,NLOS_BOUND,3.1854095242442924
Q3T002,巡航 S014→O01,1605.9903768710133,1634.1722367375205,DIRECT_CERTIFIED,,NLOS_BOUND,4.310495348023764
Q3T002,巡航 S014→O01,1634.1722367375205,1662.3540966040277,DIRECT_CERTIFIED,,NLOS_BOUND,5.5964172556760445
Q3T002,巡航 S014→O01,1662.3540966040277,1690.535956470535,DIRECT_CERTIFIED,,NLOS_BOUND,7.093514560751842
Q3T002,巡航 S014→O01,1690.535956470535,1718.717816337042,DIRECT_CERTIFIED,,NLOS_BOUND,8.876787815017053
Q3T002,巡航 S014→O01,1718.717816337042,1746.8996762035492,DIRECT_CERTIFIED,,NLOS_BOUND,11.058584051110884
Q3T002,巡航 S014→O01,1746.8996762035492,1775.0815360700565,DIRECT_CERTIFIED,,NLOS_BOUND,13.784578914727774
Q3T002,巡航 S014→O01,1775.0815360700565,1803.2633959365637,DIRECT_CERTIFIED,,NLOS_BOUND,17.008120308966255
Q3T002,下降 S014→O01,1803.2633959365637,1829.7918180905815,DIRECT_CERTIFIED,,NLOS_BOUND,18.993277511644692
Q3T002,下降 S014→O01,1829.7918180905815,1856.3202402445995,DIRECT_CERTIFIED,,NLOS_BOUND,20.397632110246832
