架次,起点,终点,剩余载荷（kg）,剩余体积（m3）,水平距离（m）,DEM最高（m）,巡航海拔（m）,爬升（m）,下降（m）,航段开始（s）,航段结束（s）,飞行时间（s）,能耗（kWh）
Q2T001,O01,S007,17.0,0.039,4533.827897987505,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,360.0,931.2993198680994,571.2993198680994,1.045702802184405
Q2T001,S007,O01,0,0,4533.827897987505,461.9731750488281,511.9731750488281,163.47317504882812,384.27317504882814,1141.2993198680992,1727.3186397361987,586.0193198680994,0.8593980607218675
Q2T002,O01,S010,11.0,0.04,4778.439901620956,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,360.0,894.4634512744026,534.4634512744026,1.0078407817755997
Q2T002,S010,O01,0,0,4778.439901620956,385.63653564453125,435.63653564453125,84.03653564453123,307.93653564453126,1104.4634512744026,1653.853569215472,549.3901179410693,0.8823830283670421
Q2T003,O01,S007,22.0,0.055,4533.827897987505,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,360.0,931.2993198680994,571.2993198680994,1.111274053270547
Q2T003,S007,O01,0,0,4533.827897987505,461.9731750488281,511.9731750488281,163.47317504882812,384.27317504882814,1141.2993198680992,1727.3186397361987,586.0193198680994,0.8593980607218675
Q2T004,O01,S010,14.0,0.027,4778.439901620956,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,330.0,864.4634512744026,534.4634512744026,1.0367013707960115
Q2T004,S010,O01,0,0,4778.439901620956,385.63653564453125,435.63653564453125,84.03653564453123,307.93653564453126,1044.4634512744026,1593.853569215472,549.3901179410693,0.8823830283670421
Q2T005,O01,S012,25.0,0.067,7398.4495612874725,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,390.0,1031.8307003260657,641.8307003260658,1.665474368683037
Q2T005,S012,O01,0,0,7398.4495612874725,363.3009948730469,413.3009948730469,133.50099487304686,285.6009948730469,1271.8307003260657,1923.8014006521316,651.9707003260659,1.0897635377272221
Q2T006,O01,S013,25.0,0.067,4848.706999909886,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,390.0,822.7338040630028,432.7338040630028,1.1202160231760743
Q2T006,S013,O01,0,0,4848.706999909886,349.18182373046875,399.18182373046875,47.48182373046876,271.48182373046876,1062.733804063003,1510.400941459339,447.66713739633616,0.7043532869311375
Q2T007,O01,S001,72.0,0.164,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,480.0,786.8983708492726,306.8983708492726,1.8227786120112939
Q2T007,S001,O01,0,0,3063.4113262888936,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,1182.8983708492726,1495.4267416985454,312.5283708492726,0.9661482121351055
Q2T008,O01,S001,68.0,0.203,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,540.0,846.8983708492726,306.8983708492726,1.706558267780136
Q2T008,S001,O01,0,0,3063.4113262888936,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,1314.8983708492726,1627.4267416985454,312.5283708492726,0.9661482121351055
Q2T009,O01,S001,70.0,0.171,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,1975.4267416985454,2282.325112547818,306.8983708492726,1.7623359856096446
Q2T009,S001,S002,56.0,0.14400000000000002,4375.117473108587,259.2448425292969,309.2448425292969,125.24484252929688,89.74484252929688,2498.325112547818,2884.9699690314246,386.64485648360625,2.0259428331964107
