架次,起点,终点,剩余载荷（kg）,剩余体积（m3）,水平距离（m）,DEM最高（m）,巡航海拔（m）,爬升（m）,下降（m）,航段开始（s）,航段结束（s）,飞行时间（s）,能耗（kWh）
Q2T001,O01,S006,17.0,0.039,3181.0333082558936,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,360.0,725.0711912153349,365.07119121533486,0.723409333042651
Q2T001,S006,O01,0,0,3181.0333082558936,316.09783935546875,366.09783935546875,51.29783935546874,238.39783935546876,935.0711912153349,1312.6157157640032,377.5445245486682,0.5861763605653048
Q2T002,O01,S010,17.0,0.039,4778.439901620956,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,360.0,894.4634512744026,534.4634512744026,1.070159179281298
Q2T002,S010,O01,0,0,4778.439901620956,385.63653564453125,435.63653564453125,84.03653564453123,307.93653564453126,1104.4634512744026,1653.853569215472,549.3901179410693,0.8823830283670421
Q2T003,O01,S014,17.0,0.039,5410.917094369381,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,360.0,1062.037842174011,702.037842174011,1.2498540595121124
Q2T003,S014,O01,0,0,5410.917094369381,541.9473876953125,591.9473876953125,240.9473876953125,464.2473876953125,1272.037842174011,1988.9623510146887,716.9245088406776,1.0377994022682675
Q2T004,O01,S007,25.0,0.067,4533.827897987505,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,390.0,885.7355215683076,495.73552156830755,1.0918931149696556
Q2T004,S007,O01,0,0,4533.827897987505,461.9731750488281,511.9731750488281,163.47317504882812,384.27317504882814,1125.7355215683076,1636.1910431366152,510.45552156830763,0.6879052360048947
Q2T005,O01,S013,25.0,0.067,4848.706999909886,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,390.0,822.7338040630028,432.7338040630028,1.1202160231760743
Q2T005,S013,O01,0,0,4848.706999909886,349.18182373046875,399.18182373046875,47.48182373046876,271.48182373046876,1062.733804063003,1510.400941459339,447.66713739633616,0.7043532869311375
Q2T006,O01,S001,70.0,0.16,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,510.0,816.8983708492726,306.8983708492726,1.7623359856096446
Q2T006,S001,O01,0,0,3063.4113262888936,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,1248.8983708492726,1561.4267416985454,312.5283708492726,0.9661482121351055
Q2T007,O01,S001,72.0,0.164,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,480.0,786.8983708492726,306.8983708492726,1.8227786120112939
Q2T007,S001,O01,0,0,3063.4113262888936,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,1182.8983708492726,1495.4267416985454,312.5283708492726,0.9661482121351055
Q2T008,O01,S006,62.0,0.179,3181.0333082558936,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,1975.4267416985454,2308.503684335527,333.07694263698147,1.6661761556278216
Q2T008,S006,S007,20.0,0.062,2516.493361922941,540.361328125,590.361328125,275.561328125,241.861328125,2632.503684335527,3031.425103776223,398.92141944069607,0.9239421622135818
Q2T008,S007,O01,0,0,4533.827897987505,461.9731750488281,511.9731750488281,163.47317504882812,384.27317504882814,3283.425103776223,3843.206154519335,559.7810507431122,1.438271137639822
Q2T009,O01,S009,25.0,0.067,5722.680393214659,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,1900.400941459339,2362.3808367328943,461.97989527355537,1.269375122245852
Q2T009,S009,S012,17.0,0.039,2967.8713189015966,310.91961669921875,360.91961669921875,130.91961669921875,81.11961669921874,2542.3808367328943,2816.3266435724277,273.9458068395335,0.5594631754495488
Q2T009,S012,O01,0,0,7398.4495612874725,363.3009948730469,413.3009948730469,133.50099487304686,285.6009948730469,3026.3266435724277,3678.2973438984936,651.9707003260659,1.0897635377272221
Q2T010,O01,S001,68.0,0.214,3063.4113262888936,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,2071.4267416985454,2378.325112547818,306.8983708492726,1.706558267780136
Q2T010,S001,S002,56.0,0.14400000000000002,4375.117473108587,259.2448425292969,309.2448425292969,125.24484252929688,89.74484252929688,2630.325112547818,3016.9699690314246,386.64485648360625,2.0259428331964107
Q2T010,S002,O01,0,0,7435.278518339014,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,3376.9699690314246,3999.0640323227103,622.0940632912858,2.311443314941289
Q2T011,O01,S002,25.0,0.067,7435.278518339014,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,2026.1910431366152,2618.0760640695025,591.8850209328874,1.6377376063083129
Q2T011,S002,O01,0,0,7435.278518339014,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,2858.0760640695025,3456.08108500239,598.0050209328875,1.0841890132080965
Q2T012,O01,S010,16.0,0.056,4778.439901620956,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,3816.08108500239,4270.903871249777,454.82278624738666,0.9138169092953241
Q2T012,S010,S014,8.0,0.028,1758.3707880097782,487.5635681152344,537.5635681152344,185.96356811523435,186.56356811523438,4450.903871249777,4704.7418737349335,253.83800248515706,0.3183293023316004
Q2T012,S014,O01,0,0,5410.917094369381,541.9473876953125,591.9473876953125,240.9473876953125,464.2473876953125,4884.7418737349335,5511.484431002788,626.7425572678545,0.8322628869572777
Q2T013,O01,S015,25.0,0.067,6019.113948538092,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,4068.2973438984936,4656.524394406502,588.2270505080082,1.42709584923683
Q2T013,S015,O01,0,0,6019.113948538092,521.7992553710938,571.7992553710938,97.29925537109375,444.09925537109376,4896.524394406502,5507.871444914511,611.3470505080082,0.8838097137302899
Q2T014,O01,S004,59.0,0.156,7745.662441501828,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,4323.2061545193355,5032.768900253246,709.562745733911,3.748680518186259
Q2T014,S004,O01,0,0,7745.662441501828,348.2391662597656,398.2391662597656,169.9391662597656,270.53916625976564,5428.768900253246,6148.391645987157,719.622745733911,2.428238511705282
Q2T015,O01,S011,70.0,0.196,2817.1517251515784,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,4539.06403232271,4835.5697271668,296.5056948440896,1.6386635236656237
Q2T015,S011,S008,45.0,0.129,5348.227792490419,362.91650390625,412.91650390625,200.81650390625,142.01650390625002,5123.5697271668,5631.453100181786,507.8833730149863,2.216637961779059
Q2T015,S008,O01,0,0,8109.473184928188,322.9093322753906,372.9093322753906,102.00933227539065,245.20933227539064,5991.453100181786,6695.493044891517,704.0399447097307,2.5222092998123395
Q2T016,O01,S009,25.0,0.067,5722.680393214659,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,5901.4844310027875,6363.464326276343,461.97989527355537,1.269375122245852
Q2T016,S009,S012,8.0,0.028,2967.8713189015966,310.91961669921875,360.91961669921875,130.91961669921875,81.11961669921874,6573.464326276343,6847.410133115876,273.9458068395335,0.48674412580169923
Q2T016,S012,O01,0,0,7398.4495612874725,363.3009948730469,413.3009948730469,133.50099487304686,285.6009948730469,7027.410133115876,7679.380833441942,651.9707003260659,1.0897635377272221
Q2T017,O01,S003,25.0,0.067,7261.075570364734,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,5999.6914725816305,6717.786211940582,718.094739358951,1.6869401606845058
Q2T017,S003,O01,0,0,7261.075570364734,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,6957.786211940582,7689.934284632866,732.1480726922844,1.0922308787684507
Q2T018,O01,S003,56.0,0.14400000000000002,7261.075570364734,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,6598.391645987157,7367.757075043373,769.3654290562166,3.470119715515923
Q2T018,S003,O01,0,0,7261.075570364734,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,7727.757075043373,8518.20250409959,790.4454290562165,2.2932526735471885
Q2T019,O01,S005,59.0,0.156,5302.020131150288,276.410888671875,326.410888671875,198.710888671875,131.410888671875,7175.493044891517,7674.150853439556,498.65780854804007,2.5726242067390874
Q2T019,S005,O01,0,0,5302.020131150288,276.410888671875,326.410888671875,131.410888671875,198.710888671875,8070.150853439556,8575.538661987597,505.3878085480401,1.6661558339555333
