K,group,source_relay_trip,copy_id,new_relay_drone,new_energy,start,link_ready,service_end,return,drone_release,charge_end,energy_kwh,lon,lat,hover_alt
2,1,Q3R003,Q3R003-G1,G1-RU-01,G1-RE-01,2481.656240801261,3157.452384092647,4047.358107078771,4568.941617618692,4868.941617618692,5284.77813527893,0.5312898896251991,109.2025,23.03916666666667,797.1484069824219
2,1,Q3R004,Q3R004-G1,G1-RU-02,G1-RE-02,2725.660142679556,3157.452384092647,4137.358107078771,4396.65598000228,4696.65598000228,5066.641768849418,0.4184265571621864,109.2466666666667,23.01083333333333,577.767578125
2,1,Q3R007,Q3R007-G1,G1-RU-01,G1-RE-01,9896.026160877613,10327.8184022907,10815.69829756426,11074.99617048777,11374.99617048777,11602.78916791748,0.2680853320277899,109.2466666666667,23.01083333333333,577.767578125
2,1,Q3R008,Q3R008-G1,G1-RU-01,G1-RE-01,15433.18324689629,16086.68208944969,17137.7275185059,17632.18494209365,17932.18494209365,18363.90302553809,0.5703829746324699,109.1883333333333,23.01083333333333,739.2029724121094
2,1,Q3R009,Q3R009-G1,G1-RU-02,G1-RE-02,17727.89169254641,18697.06695879259,19578.2389243859,20412.11110632218,20712.11110632218,21196.48472739315,0.6999966057131739,109.1883333333333,23.06916666666667,1024.06298828125
2,1,Q3R011,Q3R011-G1,G1-RU-01,G1-RE-01,22333.20768306854,23103.87358197297,23803.50979377255,24396.92653038451,24696.92653038451,25121.71678944678,0.5533298684609913,109.2466666666667,23.06916666666667,520.7100524902344
2,1,Q3R013,Q3R013-G1,G1-RU-01,G1-RE-02,24905.44782333352,25337.24006474661,25851.07132695364,26110.36919987715,26410.36919987715,26653.77356647778,0.2760149163685742,109.2466666666667,23.01083333333333,577.767578125
2,2,Q3R001,Q3R001-G2,G2-RU-01,G2-RE-01,51.67139239658377,762.5017016601557,1679.638524638539,2217.797557555269,2517.797557555269,2952.476707327977,0.5776717532866653,109.2661111111111,23.04972222222222,575.6446838378906
2,2,Q3R002,Q3R002-G2,G2-RU-02,G2-RE-02,132.4629828942945,785.200331624349,1649.638524638539,2133.532678788516,2433.532678788516,2845.271385421203,0.5212029701727692,109.2761111111111,23.01944444444445,621.5816650390625
2,2,Q3R003,Q3R003-G2,G2-RU-02,G2-RE-03,2481.656240801261,3157.452384092647,4047.358107078771,4568.941617618692,4868.941617618692,5284.77813527893,0.5312898896251991,109.2025,23.03916666666667,797.1484069824219
2,2,Q3R004,Q3R004-G2,G2-RU-01,G2-RE-04,2725.660142679556,3157.452384092647,4137.358107078771,4396.65598000228,4696.65598000228,5066.641768849418,0.4184265571621864,109.2466666666667,23.01083333333333,577.767578125
2,2,Q3R005,Q3R005-G2,G2-RU-01,G2-RE-01,4726.65598000228,5706.87703824448,7269.616527709961,8101.799760431328,8401.799760431328,8978.03883537595,0.9261269537098382,109.2855555555556,23.06916666666667,871.24609375
2,2,Q3R006,Q3R006-G2,G2-RU-02,G2-RE-02,4942.528048045085,5706.87703824448,7299.616527709961,7903.208456650405,8203.208456650405,8731.531076087536,0.8081787555375551,109.2855555555556,23.03027777777778,718.6152648925781
2,2,Q3R007,Q3R007-G2,G2-RU-01,G2-RE-01,9896.026160877613,10327.8184022907,10815.69829756426,11074.99617048777,11374.99617048777,11602.78916791748,0.2680853320277899,109.2466666666667,23.01083333333333,577.767578125
2,2,Q3R009,Q3R009-G2,G2-RU-01,G2-RE-01,17727.89169254641,18697.06695879259,19578.2389243859,20412.11110632218,20712.11110632218,21196.48472739315,0.6999966057131739,109.1883333333333,23.06916666666667,1024.06298828125
2,2,Q3R010,Q3R010-G2,G2-RU-02,G2-RE-02,20003.70817615309,20714.53848541666,21584.73254870795,22122.89158162468,22422.89158162468,22851.74363535984,0.5633281322711629,109.2661111111111,23.04972222222222,575.6446838378906
2,2,Q3R011,Q3R011-G2,G2-RU-01,G2-RE-01,22333.20768306854,23103.87358197297,23803.50979377255,24396.92653038451,24696.92653038451,25121.71678944678,0.5533298684609913,109.2466666666667,23.06916666666667,520.7100524902344
2,2,Q3R012,Q3R012-G2,G2-RU-02,G2-RE-02,23528.44919228119,24010.59395881161,24647.63964694938,24957.70665062172,25257.70665062172,25598.05773127763,0.3454795831529947,109.2077777777778,23.01083333333333,582.766845703125
