profile,seed,iteration,best_objective
balanced,20260924,0,0.47368132294153364
balanced,20260924,25,0.45544381177419907
balanced,20260924,50,0.45544381177419907
balanced,20260924,75,0.45544381177419907
balanced,20260924,100,0.45544381177419907
balanced,20260924,125,0.442624089051939
balanced,20260924,150,0.427263009145241
balanced,20260924,175,0.427263009145241
balanced,20260924,200,0.427263009145241
balanced,20260924,250,0.427263009145241
balanced,20260924,275,0.427263009145241
balanced,20260924,300,0.427263009145241
balanced,20260924,350,0.427263009145241
balanced,20260924,400,0.427263009145241
balanced,20260924,425,0.427263009145241
balanced,20260924,450,0.427263009145241
balanced,20260924,475,0.427263009145241
balanced,20260924,500,0.427263009145241
balanced,20260925,0,0.47368132294153364
balanced,20260925,25,0.44187391027860906
balanced,20260925,50,0.44187391027860906
balanced,20260925,75,0.44187391027860906
balanced,20260925,125,0.433710804028309
balanced,20260925,150,0.433710804028309
balanced,20260925,250,0.433710804028309
balanced,20260925,275,0.433710804028309
balanced,20260925,300,0.433710804028309
balanced,20260925,325,0.433710804028309
balanced,20260925,375,0.433710804028309
balanced,20260925,400,0.433710804028309
balanced,20260925,425,0.433710804028309
balanced,20260925,450,0.433710804028309
balanced,20260925,500,0.433710804028309
time,20260924,0,0.442034250763213
time,20260924,25,0.4335769935317696
time,20260924,50,0.4335769935317696
time,20260924,75,0.43220202889793996
time,20260924,100,0.4320329754813509
time,20260924,125,0.4141689495958602
time,20260924,150,0.41287161734806344
time,20260924,175,0.41287161734806344
time,20260924,200,0.3850183552014503
time,20260924,300,0.3850183552014503
time,20260924,350,0.3850183552014503
time,20260924,400,0.3850183552014503
time,20260924,425,0.3850183552014503
time,20260924,450,0.3850183552014503
time,20260924,475,0.3850183552014503
time,20260924,500,0.3850183552014503
time,20260925,0,0.442034250763213
time,20260925,25,0.43423745282711673
time,20260925,50,0.43423745282711673
time,20260925,100,0.43423745282711673
time,20260925,125,0.42863876918005483
time,20260925,150,0.41756119928662633
time,20260925,175,0.41756119928662633
time,20260925,200,0.40423406032803555
time,20260925,300,0.40121817116483416
time,20260925,350,0.39643331737658577
time,20260925,375,0.39643331737658577
time,20260925,400,0.39643331737658577
time,20260925,500,0.3901485191823548
energy,20260924,0,0.49778069630581434
energy,20260924,25,0.4744582801252651
energy,20260924,50,0.465506097970738
energy,20260924,75,0.465506097970738
energy,20260924,125,0.465506097970738
energy,20260924,150,0.465506097970738
energy,20260924,175,0.465506097970738
energy,20260924,225,0.46530410329889427
energy,20260924,300,0.4627596207776404
energy,20260924,350,0.4557995611016716
energy,20260924,375,0.44647958315584885
energy,20260924,425,0.44199119275765253
energy,20260924,500,0.435588341031761
energy,20260925,0,0.49778069630581434
energy,20260925,25,0.4685637354346572
energy,20260925,50,0.4617143046657717
energy,20260925,100,0.4617143046657717
energy,20260925,150,0.4617143046657717
energy,20260925,175,0.4617143046657717
energy,20260925,200,0.4617143046657717
energy,20260925,225,0.4617143046657717
energy,20260925,250,0.4617143046657717
energy,20260925,275,0.4617143046657717
energy,20260925,300,0.4617143046657717
energy,20260925,325,0.4617143046657717
energy,20260925,350,0.45422848514913094
energy,20260925,425,0.44097514795339776
energy,20260925,475,0.44097514795339776
energy,20260925,500,0.44097514795339776
trips,20260924,0,0.5205446706786704
trips,20260924,25,0.4754573302366234
trips,20260924,50,0.4754573302366234
trips,20260924,75,0.4754573302366234
trips,20260924,100,0.4614843320078609
trips,20260924,125,0.44417940552153096
trips,20260924,250,0.43290298146297923
trips,20260924,275,0.43016614459351166
trips,20260924,450,0.4300497360200315
trips,20260924,500,0.4300497360200315
trips,20260925,0,0.5205446706786704
trips,20260925,25,0.4457442323586859
trips,20260925,50,0.4457442323586859
trips,20260925,75,0.4304241412316315
trips,20260925,125,0.4304241412316315
trips,20260925,150,0.4304241412316315
trips,20260925,175,0.4304241412316315
trips,20260925,200,0.4304241412316315
trips,20260925,225,0.4304241412316315
trips,20260925,250,0.42932251543947175
trips,20260925,275,0.42932251543947175
trips,20260925,325,0.42826500681173596
trips,20260925,350,0.4183849311256681
trips,20260925,375,0.4183849311256681
trips,20260925,400,0.4183849311256681
trips,20260925,425,0.4183849311256681
trips,20260925,450,0.41706223569912104
trips,20260925,475,0.41706223569912104
trips,20260925,500,0.41706223569912104
